Rank,ADP,Pos,Name,Team,Bye,Comp,Yards,TD,Int,Att,Yards,TD,Fum,Rec,Yards,TD,Fantasy Points,Average Auction
81,28,WR,"Hilton, T.Y.",IND,10,0,0,0,0,2,13,0,1,88,1361,6,133,$24
82,94,WR,"Johnson, Charles",MIN,5,0,0,0,0,6,33,1,0,60,861,6,132,$6
83,35,WR,"Benjamin, Kelvin",CAR,5,0,0,0,0,1,3,0,1,68,886,10,131,$20
84,60,WR,"Bryant, Martavis",PIT,11,0,0,0,0,6,31,0,0,45,785,11,129,$13
85,9,RB,"Lacy, Eddie",GBP,7,0,0,0,0,308,1376,11,1,41,354,4,129,$33
86,134,TE,"Ebron, Eric",DET,9,0,0,0,0,0,0,0,0,55,485,4,127,$4
87,124,TE,"Eifert, Tyler",CIN,7,0,0,0,0,0,0,0,1,50,430,6,127,$5
88,144,TE,"Williams, Maxx",BAL,9,0,0,0,0,0,0,0,0,48,552,4,127,$4
89,163,WR,"Colston, Marques",NOS,11,0,0,0,0,2,8,1,1,58,865,8,127,$5
90,12,RB,"Charles, Jamaal",KCC,9,0,0,0,0,246,1239,11,3,55,451,4,126,$31
91,79,WR,"Agholor, Nelson",PHI,8,0,0,0,0,1,5,0,1,75,1025,8,126,$13
92,26,RB,"Anderson, C.J.",DEN,7,0,0,0,0,267,1200,11,0,57,482,4,126,$26
93,198,TE,"Davis, Vernon",SFO,10,0,0,0,0,1,3,0,1,36,468,7,122,$3
94,108,WR,"White, Roddy",ATL,10,0,0,0,0,0,1,0,2,80,925,7,122,$8
95,95,WR,"Wallace, Mike",MIN,5,0,0,0,0,4,10,0,1,59,824,9,119,$8
96,60,WR,"Robinson, Allen",JAC,8,0,0,0,0,0,0,0,0,80,966,6,119,$13
97,119,WR,"Fitzgerald, Larry",ARI,9,0,0,0,0,1,2,0,0,79,915,5,118,$7
98,160,WR,"Patterson, Cordarrelle",MIN,5,0,0,0,0,17,101,3,1,38,415,3,116,$3
99,71,WR,"Jackson, DeSean",WAS,8,0,0,0,0,4,17,0,0,58,1035,6,115,$12
100,147,WR,"Boldin, Anquan",SFO,10,0,0,0,0,2,4,0,0,73,965,6,115,$5
101,370,TE,"Graham, Garrett",HOU,9,0,0,0,0,0,0,0,0,43,476,4,114,$2
102,24,RB,"Lynch, Marshawn",SEA,9,0,0,0,0,261,1200,13,1,29,257,2,114,$29
103,149,WR,"Smith, Steve",BAL,9,0,0,0,0,0,0,0,1,71,950,6,113,$5
104,40,WR,"Watkins, Sammy",BUF,8,0,0,0,0,3,14,0,2,60,925,6,108,$19
105,73,WR,"Johnson, Andre",IND,10,0,0,0,0,1,4,0,2,78,880,5,108,$14
106,110,WR,"Decker, Eric",NYJ,5,0,0,0,0,7,38,0,0,78,916,5,108,$6
107,79,WR,"Floyd, Michael",ARI,9,0,0,0,0,1,2,0,1,47,799,8,107,$8
108,593,TE,"Celek, Brent",PHI,8,0,0,0,0,0,0,0,1,39,457,4,106,$1
109,118,WR,"Wright, Kendall",TEN,4,0,0,0,0,3,14,0,1,76,984,5,106,$5
110,220,WR,"Royal, Eddie",CHI,7,0,0,0,0,2,11,0,1,66,775,6,105,$2
111,18,RB,"Peterson, Adrian",MIN,5,0,0,0,0,322,1375,13,2,49,350,2,105,$31
112,62,WR,"Maclin, Jeremy",KCC,9,0,0,0,0,0,0,0,0,66,989,5,102,$12
113,142,WR,"Harvin, Percy",BUF,8,0,0,0,0,23,127,1,1,56,655,3,101,$5
114,328,TE,"Gresham, Jermaine",ARI,9,0,0,0,0,0,0,0,0,45,386,3,101,$1
115,231,QB,"Garoppolo, Jimmy",NEP,4,112,1160,9,3,22,32,0,0,0,0,0,100,$1
